mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04905943870544434,0.004242218165406937,0.006076288223266601,0.001101109175377616,1.0,0.1,linear,"{'model__C': 1, 'model__gamma': 0.1, 'model__kernel': 'linear'}",0.8148148148148148,0.8148148148148148,0.794392523364486,0.7850467289719626,0.7102803738317757,0.7838698511595708,0.03858161322792039,1
0.04252877235412598,0.0026528031432224695,0.006693744659423828,0.003133824844896619,1.0,1,linear,"{'model__C': 1, 'model__gamma': 1, 'model__kernel': 'linear'}",0.8148148148148148,0.8148148148148148,0.794392523364486,0.7850467289719626,0.7102803738317757,0.7838698511595708,0.03858161322792039,1
0.04352097511291504,0.002627799854420713,0.008643198013305663,0.0071693754032377075,1.0,0.01,linear,"{'model__C': 1, 'model__gamma': 0.01, 'model__kernel': 'linear'}",0.8148148148148148,0.8148148148148148,0.794392523364486,0.7850467289719626,0.7102803738317757,0.7838698511595708,0.03858161322792039,1
0.042360687255859376,0.005331869701754684,0.004958724975585938,0.0007237439445235469,1.0,scale,linear,"{'model__C': 1, 'model__gamma': 'scale', 'model__kernel': 'linear'}",0.8148148148148148,0.8148148148148148,0.794392523364486,0.7850467289719626,0.7102803738317757,0.7838698511595708,0.03858161322792039,1
0.14278950691223144,0.028501624060817132,0.003934669494628906,0.0012771888157826477,10.0,0.1,linear,"{'model__C': 10, 'model__gamma': 0.1, 'model__kernel': 'linear'}",0.8148148148148148,0.8148148148148148,0.794392523364486,0.7850467289719626,0.7102803738317757,0.7838698511595708,0.03858161322792039,1
0.1502676486968994,0.010997581773242646,0.004298877716064453,0.00030512758708922487,10.0,1,linear,"{'model__C': 10, 'model__gamma': 1, 'model__kernel': 'linear'}",0.8148148148148148,0.8148148148148148,0.794392523364486,0.7850467289719626,0.7102803738317757,0.7838698511595708,0.03858161322792039,1
0.16555304527282716,0.01398595984684094,0.004649543762207031,0.00021014936866196957,10.0,0.01,linear,"{'model__C': 10, 'model__gamma': 0.01, 'model__kernel': 'linear'}",0.8148148148148148,0.8148148148148148,0.794392523364486,0.7850467289719626,0.7102803738317757,0.7838698511595708,0.03858161322792039,1
0.16723451614379883,0.022928359766621203,0.00500636100769043,0.0009698126186911131,10.0,scale,linear,"{'model__C': 10, 'model__gamma': 'scale', 'model__kernel': 'linear'}",0.8148148148148148,0.8148148148148148,0.794392523364486,0.7850467289719626,0.7102803738317757,0.7838698511595708,0.03858161322792039,1
0.4524214744567871,0.07366106176289258,0.002749729156494141,0.00018339738573763882,50.0,scale,linear,"{'model__C': 50, 'model__gamma': 'scale', 'model__kernel': 'linear'}",0.8148148148148148,0.8148148148148148,0.794392523364486,0.7850467289719626,0.7102803738317757,0.7838698511595708,0.03858161322792039,1
0.4489285945892334,0.06779592087185482,0.0032228946685791014,0.00021457658343840521,50.0,0.01,linear,"{'model__C': 50, 'model__gamma': 0.01, 'model__kernel': 'linear'}",0.8148148148148148,0.8148148148148148,0.794392523364486,0.7850467289719626,0.7102803738317757,0.7838698511595708,0.03858161322792039,1
0.4445845603942871,0.05901739622042563,0.0031662464141845705,0.0007281286605585747,50.0,1,linear,"{'model__C': 50, 'model__gamma': 1, 'model__kernel': 'linear'}",0.8148148148148148,0.8148148148148148,0.794392523364486,0.7850467289719626,0.7102803738317757,0.7838698511595708,0.03858161322792039,1
0.4241669178009033,0.06867851599216739,0.003238010406494141,0.000831836257336622,50.0,0.1,linear,"{'model__C': 50, 'model__gamma': 0.1, 'model__kernel': 'linear'}",0.8148148148148148,0.8148148148148148,0.794392523364486,0.7850467289719626,0.7102803738317757,0.7838698511595708,0.03858161322792039,1
0.023909664154052733,0.004003044181808331,0.004761934280395508,0.0004703014457416196,0.1,scale,linear,"{'model__C': 0.1, 'model__gamma': 'scale', 'model__kernel': 'linear'}",0.8055555555555556,0.8148148148148148,0.794392523364486,0.7757009345794392,0.7009345794392523,0.7782796815507096,0.04081011564120721,13
0.028380298614501955,0.0018751811076887013,0.004566287994384766,0.00018506010178854877,0.1,0.01,linear,"{'model__C': 0.1, 'model__gamma': 0.01, 'model__kernel': 'linear'}",0.8055555555555556,0.8148148148148148,0.794392523364486,0.7757009345794392,0.7009345794392523,0.7782796815507096,0.04081011564120721,13
0.030046844482421876,0.0038516944365214775,0.005005025863647461,0.0004856895700046635,0.1,1,linear,"{'model__C': 0.1, 'model__gamma': 1, 'model__kernel': 'linear'}",0.8055555555555556,0.8148148148148148,0.794392523364486,0.7757009345794392,0.7009345794392523,0.7782796815507096,0.04081011564120721,13
0.027040958404541016,0.0008931630560579639,0.004606914520263672,0.00037297708727055946,0.1,0.1,linear,"{'model__C': 0.1, 'model__gamma': 0.1, 'model__kernel': 'linear'}",0.8055555555555556,0.8148148148148148,0.794392523364486,0.7757009345794392,0.7009345794392523,0.7782796815507096,0.04081011564120721,13
0.04726991653442383,0.0106176439914475,0.010759639739990234,0.003282990816985012,1.0,0.01,rbf,"{'model__C': 1, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.7777777777777778,0.7870370370370371,0.7757009345794392,0.7663551401869159,0.7289719626168224,0.7671685704395984,0.020197796914692402,17
0.042983388900756835,0.00828154215060654,0.005777883529663086,0.000490282783477194,50.0,0.01,rbf,"{'model__C': 50, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.7870370370370371,0.7962962962962963,0.7663551401869159,0.7663551401869159,0.719626168224299,0.7671339563862928,0.026475565088610712,18
0.05066065788269043,0.009154104565967148,0.009385442733764649,0.003466858722137614,10.0,0.01,rbf,"{'model__C': 10, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.7777777777777778,0.8148148148148148,0.7757009345794392,0.7476635514018691,0.719626168224299,0.7671166493596401,0.03192564304220957,19
0.046063709259033206,0.005270793661867164,0.008931207656860351,0.0010231066936764498,1.0,scale,rbf,"{'model__C': 1, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.7685185185185185,0.7592592592592593,0.7663551401869159,0.7663551401869159,0.719626168224299,0.7560228452751817,0.01846535654631624,20
