Preprocessing,Model,CV_Accuracy_Mean,CV_Precision_Mean,CV_Recall_Mean,CV_F1_Mean,CV_AUC_Mean,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC
minmax,LDA,0.7804332634521314,0.7534743722050223,0.578654970760234,0.6408638082661852,0.8380200501253132,0.7359307359307359,0.6612903225806451,0.5061728395061729,0.5734265734265734,0.8346502057613169
raw,LogisticRegression,0.7767295597484277,0.7375372924289334,0.578654970760234,0.6354135338345864,0.8393901420217208,0.7445887445887446,0.671875,0.5308641975308642,0.593103448275862,0.8344032921810699
standard,LogisticRegression,0.7748427672955975,0.7381134878193701,0.5678362573099416,0.6300090847149671,0.8396908939014202,0.7445887445887446,0.671875,0.5308641975308642,0.593103448275862,0.8362962962962962
