mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.00830979347229004,0.0020376558895753836,0.006867361068725586,0.0009434052406271321,euclidean,11,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 11, 'model__weights': 'uniform'}",0.7129629629629629,0.7592592592592593,0.794392523364486,0.8037383177570093,0.7663551401869159,0.7673416407061266,0.03187414946054088,1
0.008933115005493163,0.0005435939295248365,0.006448078155517578,0.0008460870725493647,euclidean,11,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 11, 'model__weights': 'distance'}",0.7129629629629629,0.7685185185185185,0.794392523364486,0.7850467289719626,0.7757009345794392,0.7673243336794738,0.02854302833958605,2
0.00745849609375,0.001448426249398062,0.005834388732910156,0.001111550367107253,euclidean,9,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 9, 'model__weights': 'uniform'}",0.7407407407407407,0.7407407407407407,0.794392523364486,0.7476635514018691,0.7757009345794392,0.7598476981654552,0.021555858272152235,3
0.007315158843994141,0.0008066657038101481,0.004959201812744141,0.0009355614260418447,euclidean,9,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 9, 'model__weights': 'distance'}",0.7407407407407407,0.7407407407407407,0.794392523364486,0.7383177570093458,0.7663551401869159,0.7561093804084458,0.02172329009002846,4
0.007239818572998047,0.0005928151087896052,0.006276702880859375,0.0002621495098993174,euclidean,13,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 13, 'model__weights': 'uniform'}",0.7129629629629629,0.7314814814814815,0.794392523364486,0.7757009345794392,0.7476635514018691,0.7524402907580477,0.029399305116479393,5
0.007489013671875,0.0011125953587565651,0.005777692794799805,0.00026188227525693065,euclidean,17,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 17, 'model__weights': 'distance'}",0.7129629629629629,0.75,0.8037383177570093,0.7850467289719626,0.7102803738317757,0.7524056767047421,0.037514089140948524,6
0.008516311645507812,0.002522594249565248,0.006819295883178711,0.001216746296923206,euclidean,17,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 17, 'model__weights': 'uniform'}",0.6944444444444444,0.75,0.794392523364486,0.8037383177570093,0.7102803738317757,0.750571131879543,0.04363700361832947,7
0.009024572372436524,0.00026980786376234073,0.007888412475585938,0.0016479860407636164,manhattan,13,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 13, 'model__weights': 'distance'}",0.7314814814814815,0.7407407407407407,0.7570093457943925,0.7757009345794392,0.7476635514018691,0.7505192107995846,0.015115882175067093,8
0.008472824096679687,0.0008123569823703811,0.0078277587890625,0.0006935631462446863,manhattan,17,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 17, 'model__weights': 'uniform'}",0.75,0.7592592592592593,0.7663551401869159,0.7757009345794392,0.7009345794392523,0.7504499826929734,0.026154026854400946,9
0.008231687545776366,0.0007164844513100919,0.005314445495605469,0.000886485594708897,euclidean,13,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 13, 'model__weights': 'distance'}",0.7129629629629629,0.7314814814814815,0.7850467289719626,0.7570093457943925,0.7570093457943925,0.7487019730010382,0.0246283914972876,10
0.00901327133178711,0.0005569995770881699,0.007372474670410157,0.00017675695491962756,manhattan,13,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 13, 'model__weights': 'uniform'}",0.7222222222222222,0.7314814814814815,0.7663551401869159,0.7850467289719626,0.7289719626168224,0.7468155070958808,0.02450215365826678,11
0.009206485748291016,0.0011629432694241805,0.0054399967193603516,0.0005799707648231456,manhattan,19,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 19, 'model__weights': 'distance'}",0.7592592592592593,0.75,0.7757009345794392,0.7663551401869159,0.6822429906542056,0.7467116649359641,0.03331879082091574,12
0.009037494659423828,0.0011664235067465594,0.009380292892456055,0.00799104790006024,manhattan,15,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.7222222222222222,0.7314814814814815,0.7757009345794392,0.7757009345794392,0.719626168224299,0.7449463482173762,0.025418454783656886,13
0.009070158004760742,0.0018365934353276841,0.006636667251586914,0.0006870592612508317,euclidean,19,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 19, 'model__weights': 'uniform'}",0.7037037037037037,0.75,0.794392523364486,0.7757009345794392,0.7009345794392523,0.7449463482173762,0.03756141566230023,13
0.011139154434204102,0.004954394869345743,0.006818437576293945,0.0009486506660249768,manhattan,17,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 17, 'model__weights': 'distance'}",0.7592592592592593,0.7592592592592593,0.7663551401869159,0.7476635514018691,0.6915887850467289,0.7448251990308065,0.027285140914457977,15
0.00737919807434082,0.0014864088144504939,0.00646824836730957,0.0014838307641706228,euclidean,15,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.7037037037037037,0.7129629629629629,0.8037383177570093,0.794392523364486,0.7009345794392523,0.7431464174454827,0.04592635325148772,16
