Model,Accuracy,Precision,Recall,F1-score,AUC
Tuned KNN (standard),0.7489177489177489,0.6716417910447762,0.5555555555555556,0.6081081081081081,0.8141975308641975
Baseline best: LogisticRegression (standard),0.7445887445887446,0.671875,0.5308641975308642,0.593103448275862,0.8362962962962962
Tuned SVM (standard),0.7272727272727273,0.6551724137931034,0.4691358024691358,0.5467625899280576,0.8327572016460905
